zone_id,zone_name,area_m2
B001,LA CREU COBERTA,374885.4482594542
B002,LA FONTETA S.LLUIS,238824.4183227799
B003,RAFALELL-VISTABELLA,2124468.7953189174
B004,CAMI DE VERA,827031.9850546262
B005,BENIMAMET,1477191.5686163735
B006,BENIFERRI,533945.5579801189
B007,EL PALMAR,36961639.71905103
B008,EL SALER,8247660.455508569
B009,EL PERELLONET,4928204.351112923
B010,CIUTAT FALLERA,496907.7422952865
B011,CARPESA,2255540.2317205565
B012,BORBOTO,1419590.7270890607
B013,BENIFARAIG,1422068.4362080852
B014,TORREFIEL,700270.6128918687
B015,TORMOS,279948.9956376612
B016,MARXALENES,390362.46998251474
B017,EL CALVARI,93681.62331594853
B018,MORVEDRE,428181.3657314248
B019,TRINITAT,595674.0651733906
B020,EL CARME,384064.6551076556
B021,EL BOTANIC,370112.971292552
B022,EXPOSICIO,381606.8171348448
B023,LA XEREA,311647.88953998126
B024,EL MERCAT,172793.972568703
B025,EL PILAR,161605.1075037302
B026,EL PLA DEL REMEI,386915.32038410415
B027,L'ILLA PERDUDA,231522.07974508769
B028,ARRANCAPINS,874368.7348052579
B029,LA ROQUETA,230567.0169419802
B030,LA RAIOSA,375446.31247804605
B031,SAFRANAR,441263.4305435939
B032,SANT LLORENS,1532591.2397556026
B033,EN CORTS,364024.3523459941
B034,MALILLA,2507152.1236750563
B035,JAUME ROIG,187100.2313664253
B036,BENIMACLET,751257.2569342769
B037,CIUTAT UNIVERSITARIA,273850.46626924636
B038,BENICALAP,1718922.835997798
B039,SANT ANTONI,249871.47948861256
B040,MESTALLA,843726.1675443042
B041,ALBORS,255654.97896969764
B042,L'AMISTAT,208612.29717739392
B043,BETERO,267236.98329947365
B044,CABANYAL-CANYAMELAR,1349868.9421882636
B045,LA CARRASCA,1945697.472434357
B046,LA MALVA-ROSA,732988.1537947246
B047,LA VEGA BAIXA,190570.78441747127
B048,AIORA,651351.6602005305
B049,CIUTAT JARDI,363905.8283320316
B050,NATZARET,916438.7808392649
B051,LA PUNTA,6213241.077261035
B052,EL GRAU,5231981.522442434
B053,RUSSAFA,876743.800121857
B054,LA GRAN VIA,467115.80462628236
B055,MONTOLIVET,474699.4605438448
B056,LA FONTSANTA,322999.2187304611
B057,VARA DE QUART,1034606.3362237056
B058,PATRAIX,621303.1273619117
B059,TRES FORQUES,526794.3471969295
B060,NOU MOLES,739498.7979951871
B061,SOTERNES,224341.30849505533
B062,LA LLUM,175203.52324675804
B063,SANT PAU,3898034.390276856
B064,LA PETXINA,496771.74395524594
B065,CAMPANAR,987768.188141156
B066,LES TENDETES,258172.46013527145
B067,CAMI REAL,1477562.7944729885
B068,FAVARA,280212.60750913864
B069,SANT ISIDRE,495138.90136107197
B070,L'HORT DE SENABRE,426389.1164755238
B071,CAMI FONDO,158578.63021261347
B072,NA ROVELLA,536476.1789811202
B073,PENYA-ROJA,907401.2936273437
B074,LA CREU DEL GRAU,390193.14269563847
B075,CIUTAT DE LES ARTS I DE LES CIENCIES,992883.6232477905
B076,POBLE NOU,2930957.662354524
B077,LES CASES DE BARCENA,1201023.351954109
B078,MAHUELLA-TAULADELLA,1043066.1378118087
B079,PINEDO,6526456.3619066
B080,MASSARROJOS,2781900.8057213845
B081,FAITANAR,4902501.464250645
B082,CASTELLAR-L'OLIVERAL,2989701.201432936
B083,EL FORN D'ALCEDO,1200882.3882607438
B084,LA TORRE,419523.0119635025
B085,SANT FRANCESC,438655.2915736529
B086,SANT MARCEL.LI,330435.46060601406
B087,ELS ORRIOLS,396738.17352664494
B088,LA SEU,221072.59766127518
